Table ID,Table Title,Table Universe,Year
B01001,SEX BY AGE,Universe: Total population,"1,5"
B01001A,SEX BY AGE (WHITE ALONE),Universe: People who are White alone,"1,5"
C01001A,SEX BY AGE (WHITE ALONE),Universe: People who are White alone,1
B01001B,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Universe: People who are Black or African American alone,"1,5"
C01001B,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Universe: People who are Black or African American alone,1
B01001C,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: People who are American Indian and Alaska Native alone,"1,5"
C01001C,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: People who are American Indian and Alaska Native alone,1
B01001D,SEX BY AGE (ASIAN ALONE),Universe: People who are Asian alone,"1,5"
C01001D,SEX BY AGE (ASIAN ALONE),Universe: People who are Asian alone,1
B01001E,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: People who are Native Hawaiian and Other Pacific Islander alone,"1,5"
C01001E,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: People who are Native Hawaiian and Other Pacific Islander alone,1
B01001F,SEX BY AGE (SOME OTHER RACE ALONE),Universe: People who are Some Other Race alone,"1,5"
C01001F,SEX BY AGE (SOME OTHER RACE ALONE),Universe: People who are Some Other Race alone,1
B01001G,SEX BY AGE (TWO OR MORE RACES),Universe: People who are Two or More Races,"1,5"
C01001G,SEX BY AGE (TWO OR MORE RACES),Universe: People who are Two or More Races,1
B01001H,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino population","1,5"
C01001H,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino population",1
B01001I,SEX BY AGE (HISPANIC OR LATINO),Universe: People who are Hispanic or Latino,"1,5"
C01001I,SEX BY AGE (HISPANIC OR LATINO),Universe: People who are Hispanic or Latino,1
B01002,MEDIAN AGE BY SEX,Universe: Total population,"1,5"
B01002A,MEDIAN AGE BY SEX (WHITE ALONE),Universe: People who are White alone,"1,5"
B01002B,MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),Universe: People who are Black or African American alone,"1,5"
B01002C,MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE ALONE) ,Universe: People who are American Indian and Alaska Native alone,"1,5"
B01002D,MEDIAN AGE BY SEX (ASIAN ALONE),Universe: People who are Asian alone,"1,5"
B01002E,MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: People who are Native Hawaiian and Other Pacific Islander alone,"1,5"
B01002F,MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),Universe: People who are Some Other Race alone,"1,5"
B01002G,MEDIAN AGE BY SEX (TWO OR MORE RACES),Universe: People who are Two or More Races,"1,5"
B01002H,"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino population","1,5"
B01002I,MEDIAN AGE BY SEX (HISPANIC OR LATINO),Universe: People who are Hispanic or Latino,"1,5"
B01003,TOTAL POPULATION,Universe: Total population,"1,5"
B02001,RACE,Universe: Total population,"1,5"
B02003,DETAILED RACE,Universe: Total population,1
C02003,DETAILED RACE,Universe: Total population,"1,5"
B02008,WHITE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES ,Universe: White alone or in combination with one or more other races,"1,5"
B02009,BLACK OR AFRICAN AMERICAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Universe: Black or African American alone or in combination with one or more other races,"1,5"
B02010,AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Universe: People who are American Indian or Alaska Native alone or in combination with one or more other races,"1,5"
B02011,ASIAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Universe: Asian alone or in combination with one or more other races,"1,5"
B02012,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Universe: Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,"1,5"
B02013,SOME OTHER RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Universe: Some other race alone or in combination with one or more other races,"1,5"
B02014,AMERICAN INDIAN AND ALASKA NATIVE ALONE FOR SELECTED TRIBAL GROUPINGS,Universe: People who are American Indian and Alaska Native alone and people with no tribe reported,"1,5"
C02014,AMERICAN INDIAN AND ALASKA NATIVE ALONE FOR SELECTED TRIBAL GROUPINGS,Universe: People who are American Indian and Alaska Native alone and people with no tribe reported,1
B02015,ASIAN ALONE BY SELECTED GROUPS,Universe: Total Asian alone population,"1,5"
C02015,ASIAN ALONE BY SELECTED GROUPS,Universe: Total Asian alone population,1
B02016,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE BY SELECTED GROUPS,Universe: Total Native Hawaiian and Other Pacific Islander alone population,"1,5"
C02016,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE BY SELECTED GROUPS,Universe: Total Native Hawaiian and Other Pacific Islander alone population,1
B02017,AMERICAN INDIAN AND ALASKA NATIVE (AIAN) ALONE OR IN ANY COMBINATION BY SELECTED TRIBAL GROUPINGS,Universe: Total AIAN alone or in any combination population (the total groups tallied),"1,5"
B02018,ASIAN ALONE OR IN ANY COMBINATION BY SELECTED GROUPS,Universe: Total Asian alone or in any combination population (the total groups tallied),"1,5"
B02019,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN ANY COMBINATION BY SELECTED GROUPS,Universe: Total NHPI alone or in any combination population (the total groups tallied),"1,5"
B03001,HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN,Universe: Total population,"1,5"
C03001,HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN,Universe: Total population,1
B03002,HISPANIC OR LATINO ORIGIN BY RACE,Universe: Total population,"1,5"
C03002,HISPANIC OR LATINO ORIGIN BY RACE,Universe: Total population,1
B03003,HISPANIC OR LATINO ORIGIN,Universe: Total population,"1,5"
B04004,PEOPLE REPORTING SINGLE ANCESTRY,Universe: People reporting single ancestry,"1,5"
C04004,PEOPLE REPORTING SINGLE ANCESTRY,Universe: People reporting single ancestry,1
B04005,PEOPLE REPORTING MULTIPLE ANCESTRY,Universe: People reporting multiple ancestries,"1,5"
C04005,PEOPLE REPORTING MULTIPLE ANCESTRY,Universe: People reporting multiple ancestries,1
B04006,PEOPLE REPORTING ANCESTRY,Universe: Total population,"1,5"
C04006,PEOPLE REPORTING ANCESTRY,Universe: Total population,1
B04007,ANCESTRY,Universe: Total population,"1,5"
C04007,ANCESTRY,Universe: Total population,1
B05001,NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,Universe: Total population in the United States,"1,5"
C05001,NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,Universe: Total population in the United States,1
B05001PR,NATIVITY AND CITIZENSHIP STATUS IN PUERTO RICO,Universe: Total population in Puerto Rico,"1,5"
